 213      108.8    .87 h 14  3
 214     1456.2    .92 h 14  4
 215    -1284.6    .93 h 14  5
 216      896.5    .95 h 14  6
 217      237.0    .97 h 14  7
 218      225.8    .98 h 14  8
 219      -80.9    .99 h 14  9
 220      696.9    1.0 h 14 10
 221      326.5    1.0 h 14 11
 222      225.9    1.0 h 14 12
 223       71.0    1.0 h 14 13
 224      124.4    1.0 h 14 14
 225      469.4    .77 g 15  0
 226    -1929.2    .78 g 15  1
 227      -38.7    .78 g 15  2
 228     -815.9    .79 g 15  3
 229     -775.7    .79 g 15  4
 230       31.0    .85 g 15  5
 231     -149.9    .87 g 15  6
 232      318.2    .92 g 15  7
 233     -298.3    .96 g 15  8
 234     -149.3    .97 g 15  9
 235      241.4    .99 g 15 10
 236      -69.4    1.0 g 15 11
 237      367.0    1.0 g 15 12
 238      -22.2    1.0 g 15 13
 239       91.8    1.0 g 15 14
 240      -43.7    1.0 g 15 15
 241    -1146.4    .78 h 15  1
 242     -580.4    .79 h 15  2
 243      527.3    .80 h 15  3
 244      120.0    .85 h 15  4
 245     -478.9    .85 h 15  5
 246      148.4    .89 h 15  6
 247       45.7    .92 h 15  7
 248     -882.5    .95 h 15  8
 249     -206.6    .97 h 15  9
 250      -74.9    .99 h 15 10
 251       51.0    1.0 h 15 11
 252       36.4    1.0 h 15 12
 253      -44.4    1.0 h 15 13
 254     -285.9    1.0 h 15 14
 255      135.1    1.0 h 15 15
 256     -809.2    .76 g 16  0
 257     -888.9    .75 g 16  1
 258     -604.0    .76 g 16  2
 259     -339.1    .76 g 16  3
 260     -350.6    .75 g 16  4
 261     -503.8    .78 g 16  5
 262     -235.5    .80 g 16  6
 263        9.0    .85 g 16  7
 264     -498.7    .89 g 16  8
 265     -283.2    .92 g 16  9
 266      -50.9    .96 g 16 10
 267     -515.2    .98 g 16 11
 268     -255.3    .99 g 16 12
 269       15.6    1.0 g 16 13
 270      -24.7    1.0 g 16 14
 271     -176.5    1.0 g 16 15
 272       49.2    1.0 g 16 16
 273     -932.8    .76 h 16  1
 274     -608.1    .76 h 16  2
 275      510.2    .76 h 16  3
 276     -587.4    .78 h 16  4
 277      -39.4    .78 h 16  5
 278      358.1    .81 h 16  6
 279      279.8    .84 h 16  7
 280      244.5    .88 h 16  8
 281      487.3    .92 h 16  9
 282      366.7    .96 h 16 10
 283       93.9    .98 h 16 11
 284      282.8    .99 h 16 12
 285     -267.7    1.0 h 16 13
 286       39.8    1.0 h 16 14
 287     -213.1    1.0 h 16 15
 288       32.4    1.0 h 16 16
 289    -1238.7    .74 g 17  0
 290     -190.2    .74 g 17  1
 291     -101.5    .75 g 17  2
 292      -58.0    .75 g 17  3
 293       10.0    .75 g 17  4
 294     -525.9    .74 g 17  5
 295      468.4    .74 g 17  6
 296       88.1    .77 g 17  7
 297     -385.1    .80 g 17  8
 298       77.6    .84 g 17  9
 299       75.7    .89 g 17 10
 300     -148.9    .93 g 17 11
 301      201.8    .96 g 17 12
 302       61.7    .98 g 17 13
